,Reporter Code,Reporter,Partner Code,Partner,Trade Flow,Trade Value (US$),Trade Quantity,NetWeight
343,320,Guatemala,484,Mexico,Import,5222,68,68.0
344,320,Guatemala,842,USA,Import,35,1,1.0
345,328,Guyana,0,World,Import,260,4,4.0
346,328,Guyana,124,Canada,Import,260,4,4.0
347,352,Iceland,0,World,Import,4,1,1.0
348,352,Iceland,0,World,Export,23005,9342,
349,352,Iceland,528,Netherlands,Export,23005,9342,
350,352,Iceland,842,USA,Import,4,1,1.0
351,699,India,0,World,Import,2523909425,862740694,862740694.0
352,699,India,0,World,Export,61042099,42307534,42307534.0
353,699,India,36,Australia,Import,504357513,101128000,101128000.0
354,699,India,70,Bosnia Herzegovina,Import,10614,2000,2000.0
355,699,India,76,Brazil,Import,33990632,10519200,10519200.0
356,699,India,124,Canada,Import,39896113,10499300,10499300.0
357,699,India,124,Canada,Export,120,25,25.0
358,699,India,152,Chile,Import,802980535,326751000,326751000.0
359,699,India,156,China,Import,5996,60,60.0
360,699,India,156,China,Export,42202246,30820900,30820900.0
361,699,India,178,Congo,Import,37475,25000,25000.0
362,699,India,360,Indonesia,Import,505095588,179350000,179350000.0
363,699,India,364,Iran,Import,102,250,250.0
364,699,India,458,Malaysia,Import,30114901,9209000,9209000.0
365,699,India,458,Malaysia,Export,1622458,746809,746809.0
366,699,India,591,Panama,Import,159990403,61202000,61202000.0
367,699,India,604,Peru,Import,302570095,100034000,100034000.0
368,699,India,608,Philippines,Export,17217275,10739800,10739800.0
369,699,India,682,Saudi Arabia,Import,123622716,54596800,54596800.0
370,699,India,764,Thailand,Import,21235868,9424080,9424080.0
371,699,India,826,United Kingdom,Import,2,1,1.0
372,699,India,842,USA,Import,865,3,3.0
373,381,Italy,0,World,Import,607171,180986,180986.0
374,381,Italy,0,World,Export,644833,114153,114153.0
375,381,Italy,12,Algeria,Export,7332,1000,1000.0
376,381,Italy,56,Belgium,Import,118123,16100,16100.0
377,381,Italy,156,China,Import,78406,26000,26000.0
378,381,Italy,178,Congo,Import,6154,200,200.0
379,381,Italy,191,Croatia,Export,6000,1008,1008.0
380,381,Italy,203,Czechia,Export,131815,24940,24940.0
381,381,Italy,276,Germany,Import,5780,637,637.0
382,381,Italy,276,Germany,Export,98804,18000,18000.0
383,381,Italy,300,Greece,Export,3869,50,50.0
384,381,Italy,348,Hungary,Export,1170,225,225.0
385,381,Italy,490,"Other Asia, nes",Export,4198,500,500.0
386,381,Italy,528,Netherlands,Import,10902,2625,2625.0
387,381,Italy,528,Netherlands,Export,38746,7000,7000.0
388,381,Italy,616,Poland,Export,31671,7075,7075.0
389,381,Italy,642,Romania,Export,8160,1500,1500.0
390,381,Italy,705,Slovenia,Export,171881,28000,28000.0
391,381,Italy,724,Spain,Export,47367,9010,9010.0
392,381,Italy,784,United Arab Emirates,Export,4518,1000,1000.0
393,381,Italy,788,Tunisia,Export,1703,150,150.0
394,381,Italy,792,Turkey,Import,387803,135424,135424.0
395,381,Italy,792,Turkey,Export,51177,10000,10000.0
396,381,Italy,804,Ukraine,Export,19282,4475,4475.0
397,381,Italy,842,USA,Export,17131,220,220.0
398,392,Japan,0,World,Import,13039950023,4959313000,4959313000.0
399,392,Japan,36,Australia,Import,2335120349,666943000,666943000.0
400,392,Japan,124,Canada,Import,1112079677,391256000,391256000.0
401,392,Japan,152,Chile,Import,4576164044,1899160000,1899160000.0
402,392,Japan,360,Indonesia,Import,1694180821,646981000,646981000.0
