Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,300,Greece,GRC,381,Italy,ITA,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,80,,,,80,,6003,,,0
H5,2019,2019,2019,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,50,,,,50,,775,,,0
H5,2019,2019,2019,6,1,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,4,,,,4,,43,,,0
H5,2019,2019,2019,6,1,1,Import,320,Guatemala,GTM,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,50,,,,50,,775,,,0
H5,2019,2019,2019,6,1,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,4,,,,4,,43,,,0
H5,2019,2019,2019,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,334780,,,,334780,,124228,,,0
H5,2019,2019,2019,6,1,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,414410,,,,414410,,207722,,,0
H5,2019,2019,2019,6,1,2,Export,344,"China, Hong Kong SAR",HKG,116,Cambodia,KHM,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,30620,,,,30620,,33070,,,0
H5,2019,2019,2019,6,1,1,Import,344,"China, Hong Kong SAR",HKG,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,334780,,,,334780,,124228,,,0
H5,2019,2019,2019,6,1,2,Export,344,"China, Hong Kong SAR",HKG,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,338620,,,,338620,,152061,,,0
H5,2019,2019,2019,6,1,2,Export,344,"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,45170,,,,45170,,22590,,,0
H5,2019,2019,2019,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,13,,,,13,,341,,,0
H5,2019,2019,2019,6,1,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,40380,,,,40380,,173292,,,0
H5,2019,2019,2019,6,1,1,Import,352,Iceland,ISL,276,Germany,DEU,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,13,,,,13,,341,,,0
H5,2019,2019,2019,6,1,2,Export,352,Iceland,ISL,528,Netherlands,NLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,40380,,,,40380,,173292,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,5337964,,,,5337964,,285268,,,6
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,676675200,,,,676675200,,1280054347,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,100,Bulgaria,BGR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,12,,,,12,,162,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,34545,,,,34545,,19960,,,6
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,74,,,,74,,1207,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,302510900,,,,302510900,,599729496,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,10000000,,,,10000000,,19259581,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,103457200,,,,103457200,,180618218,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,110457,,,,110457,,5606,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,85665300,,,,85665300,,163346530,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,15750000,,,,15750000,,36758161,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,490,"Other Asia, nes",,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1,,,,1,,76,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,604,Peru,PER,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,6,,,,6,,51,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,99291800,,,,99291800,,153454726,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,616,Poland,POL,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,4204260,,,,4204260,,208111,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,699,India,IND,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,3,,,,3,,30,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,699,India,IND,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,30000000,,,,30000000,,64300632,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,4,,,,4,,26,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,710,South Africa,ZAF,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,988561,,,,988561,,49428,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,724,Spain,ESP,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,12,,,,12,,136,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,724,Spain,ESP,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,30000000,,,,30000000,,62587003,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,4,,,,4,,91,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,25,,,,25,,384,,,0
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,32181,,,,32181,,473064,,,0
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,36,Australia,AUS,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,5,,,,5,,205,,,0
